DT_GERACAO,AA_ELEICAO,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,DS_GENERO,DS_ESTADO_CIVIL,DS_FAIXA_ETARIA,DS_GRAU_ESCOLARIDADE,DS_RACA_COR,DS_IDENTIDADE_GENERO,DS_QUILOMBOLA,QT_ELEITORES,QT_ELEITORES_BIOMETRIA,QT_ELEITORES_DEFICIENCIA,QT_ELEITORES_NOME_SOCIAL
14/07/2026,2026,AC,01473,TARAUACÁ,5,FEMININO,SOLTEIRO,21 a 24 anos,ENSINO FUNDAMENTAL COMPLETO,Indígena,Cisgênero,NÃO,2,2,0,0
14/07/2026,2026,AC,01090,MÂNCIO LIMA,4,FEMININO,SOLTEIRO,16 anos,ENSINO MÉDIO INCOMPLETO,Indígena,Cisgênero,NÃO,3,3,0,0
14/07/2026,2026,AC,01511,PLÁCIDO DE CASTRO,8,MASCULINO,SEPARADO JUDICIALMENTE,40 a 44 anos,ENSINO FUNDAMENTAL INCOMPLETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,1,1,0,0
14/07/2026,2026,AC,01392,RIO BRANCO,9,FEMININO,SOLTEIRO,40 a 44 anos,SUPERIOR COMPLETO,Parda,Cisgênero,SIM,1,1,1,0
14/07/2026,2026,AC,01007,BUJARI,9,FEMININO,SOLTEIRO,55 a 59 anos,ENSINO MÉDIO INCOMPLETO,Parda,Cisgênero,NÃO,2,2,0,0
14/07/2026,2026,AC,01066,PORTO WALTER,4,FEMININO,CASADO,45 a 49 anos,ANALFABETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,4,4,0,0
14/07/2026,2026,AC,01015,CAPIXABA,2,FEMININO,SOLTEIRO,21 a 24 anos,SUPERIOR INCOMPLETO,Branca,Cisgênero,NÃO,1,1,0,0
14/07/2026,2026,AC,01570,ASSIS BRASIL,6,FEMININO,CASADO,45 a 49 anos,LÊ E ESCREVE,Indígena,Cisgênero,NÃO,1,1,0,0
14/07/2026,2026,AC,01090,MÂNCIO LIMA,4,FEMININO,DIVORCIADO,35 a 39 anos,ENSINO MÉDIO COMPLETO,Parda,Cisgênero,NÃO,3,3,0,0
14/07/2026,2026,AC,01090,MÂNCIO LIMA,4,FEMININO,SOLTEIRO,40 a 44 anos,ENSINO FUNDAMENTAL INCOMPLETO,Preta,Cisgênero,NÃO,1,1,0,0
14/07/2026,2026,AC,01112,EPITACIOLÂNDIA,6,MASCULINO,CASADO,50 a 54 anos,SUPERIOR INCOMPLETO,Branca,Cisgênero,NÃO,1,1,0,0
14/07/2026,2026,AC,01015,CAPIXABA,2,MASCULINO,SOLTEIRO,25 a 29 anos,ENSINO FUNDAMENTAL COMPLETO,Parda,Cisgênero,NÃO,2,2,0,0
14/07/2026,2026,AC,01074,CRUZEIRO DO SUL,4,MASCULINO,VIÚVO,75 a 79 anos,SUPERIOR COMPLETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,1,1,0,0
14/07/2026,2026,AC,01392,RIO BRANCO,9,FEMININO,CASADO,70 a 74 anos,ENSINO MÉDIO COMPLETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,161,161,0,0
14/07/2026,2026,AC,01490,XAPURI,2,MASCULINO,DIVORCIADO,40 a 44 anos,ENSINO FUNDAMENTAL INCOMPLETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,3,3,0,0
14/07/2026,2026,AC,01090,MÂNCIO LIMA,4,MASCULINO,SOLTEIRO,40 a 44 anos,ENSINO FUNDAMENTAL INCOMPLETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,117,113,0,0
14/07/2026,2026,AC,01392,RIO BRANCO,9,MASCULINO,SOLTEIRO,65 a 69 anos,ENSINO FUNDAMENTAL INCOMPLETO,Preta,Cisgênero,NÃO,1,1,0,0
14/07/2026,2026,AC,01570,ASSIS BRASIL,6,FEMININO,SOLTEIRO,50 a 54 anos,SUPERIOR COMPLETO,Parda,Cisgênero,NÃO,3,3,0,0
14/07/2026,2026,AC,01120,ACRELÂNDIA,8,FEMININO,CASADO,65 a 69 anos,LÊ E ESCREVE,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,52,52,0,0
14/07/2026,2026,AC,01457,SENA MADUREIRA,3,MASCULINO,SOLTEIRO,18 anos,ENSINO MÉDIO INCOMPLETO,Parda,Cisgênero,NÃO,142,142,9,0
14/07/2026,2026,AC,01392,RIO BRANCO,1,MASCULINO,SOLTEIRO,21 a 24 anos,SUPERIOR COMPLETO,Branca,Cisgênero,NÃO,6,6,0,0
14/07/2026,2026,AC,01554,MANOEL URBANO,3,FEMININO,SOLTEIRO,21 a 24 anos,ENSINO MÉDIO COMPLETO,Indígena,Cisgênero,NÃO,1,1,0,0
14/07/2026,2026,AC,01023,PORTO ACRE,1,MASCULINO,SOLTEIRO,40 a 44 anos,ENSINO MÉDIO COMPLETO,Parda,Cisgênero,NÃO,17,17,0,0
14/07/2026,2026,AC,01015,CAPIXABA,2,MASCULINO,SOLTEIRO,40 a 44 anos,LÊ E ESCREVE,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,24,23,2,0
14/07/2026,2026,AC,01392,RIO BRANCO,1,FEMININO,VIÚVO,65 a 69 anos,SUPERIOR COMPLETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,19,17,0,0
14/07/2026,2026,AC,01112,EPITACIOLÂNDIA,6,FEMININO,SOLTEIRO,25 a 29 anos,ENSINO MÉDIO COMPLETO,Preta,Cisgênero,NÃO,4,4,0,0
14/07/2026,2026,AC,01058,BRASILÉIA,6,FEMININO,SOLTEIRO,40 a 44 anos,ANALFABETO,Parda,Cisgênero,NÃO,4,4,0,0
14/07/2026,2026,AC,01074,CRUZEIRO DO SUL,4,MASCULINO,SOLTEIRO,80 a 84 anos,ANALFABETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,72,72,1,0
14/07/2026,2026,AC,01015,CAPIXABA,2,FEMININO,CASADO,50 a 54 anos,ANALFABETO,Parda,Cisgênero,NÃO,5,5,0,0
14/07/2026,2026,AC,01392,RIO BRANCO,9,FEMININO,CASADO,25 a 29 anos,ANALFABETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,2,2,0,0
14/07/2026,2026,AC,01015,CAPIXABA,2,MASCULINO,SOLTEIRO,19 anos,ENSINO FUNDAMENTAL INCOMPLETO,Branca,Cisgênero,NÃO,5,5,1,0
14/07/2026,2026,AC,01120,ACRELÂNDIA,8,MASCULINO,SOLTEIRO,55 a 59 anos,LÊ E ESCREVE,Parda,Prefere não informar,NÃO,2,1,0,0
14/07/2026,2026,AC,01392,RIO BRANCO,1,FEMININO,SOLTEIRO,65 a 69 anos,ENSINO MÉDIO COMPLETO,Branca,Cisgênero,NÃO,3,3,0,0
14/07/2026,2026,AC,01392,RIO BRANCO,9,FEMININO,SEPARADO JUDICIALMENTE,40 a 44 anos,SUPERIOR COMPLETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,8,8,0,0
14/07/2026,2026,AC,01023,PORTO ACRE,1,MASCULINO,CASADO,45 a 49 anos,ANALFABETO,Parda,Cisgênero,NÃO,3,3,0,0
14/07/2026,2026,AC,01457,SENA MADUREIRA,3,FEMININO,VIÚVO,55 a 59 anos,ENSINO FUNDAMENTAL INCOMPLETO,Parda,Cisgênero,NÃO,2,2,0,0
14/07/2026,2026,AC,01031,SANTA ROSA DO PURUS,3,MASCULINO,SOLTEIRO,20 anos,ENSINO MÉDIO INCOMPLETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,1,0,0,0
14/07/2026,2026,AC,01570,ASSIS BRASIL,6,MASCULINO,SOLTEIRO,18 anos,ENSINO FUNDAMENTAL INCOMPLETO,Branca,Cisgênero,NÃO,7,7,0,0
14/07/2026,2026,AC,01457,SENA MADUREIRA,3,FEMININO,DIVORCIADO,55 a 59 anos,LÊ E ESCREVE,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,8,8,0,0
14/07/2026,2026,AC,01023,PORTO ACRE,1,FEMININO,CASADO,55 a 59 anos,ENSINO FUNDAMENTAL INCOMPLETO,Parda,Cisgênero,NÃO,1,1,0,0
14/07/2026,2026,AC,01392,RIO BRANCO,9,FEMININO,VIÚVO,40 a 44 anos,ENSINO MÉDIO INCOMPLETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,4,4,0,0
14/07/2026,2026,AC,01511,PLÁCIDO DE CASTRO,8,MASCULINO,SOLTEIRO,16 anos,ENSINO FUNDAMENTAL INCOMPLETO,Preta,Cisgênero,NÃO,1,1,0,0
14/07/2026,2026,AC,01074,CRUZEIRO DO SUL,4,MASCULINO,SOLTEIRO,21 a 24 anos,ENSINO FUNDAMENTAL COMPLETO,Parda,Prefere não informar,NÃO,8,6,0,0
14/07/2026,2026,AC,01473,TARAUACÁ,5,MASCULINO,DIVORCIADO,55 a 59 anos,LÊ E ESCREVE,Indígena,Cisgênero,NÃO,1,1,1,0
14/07/2026,2026,AC,01473,TARAUACÁ,5,MASCULINO,SOLTEIRO,21 a 24 anos,LÊ E ESCREVE,Branca,Cisgênero,NÃO,7,5,0,0
14/07/2026,2026,AC,01074,CRUZEIRO DO SUL,4,MASCULINO,CASADO,55 a 59 anos,ENSINO FUNDAMENTAL COMPLETO,Parda,Cisgênero,NÃO,3,3,0,0
14/07/2026,2026,AC,01473,TARAUACÁ,5,MASCULINO,CASADO,70 a 74 anos,ENSINO FUNDAMENTAL COMPLETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,2,2,0,0
14/07/2026,2026,AC,01023,PORTO ACRE,1,FEMININO,CASADO,30 a 34 anos,ENSINO MÉDIO COMPLETO,Amarela,Prefere não informar,NÃO,1,1,0,0
14/07/2026,2026,AC,01139,FEIJÓ,7,MASCULINO,DIVORCIADO,65 a 69 anos,LÊ E ESCREVE,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,5,5,1,0
