ANO_ELEICAO,NM_MUNICIPIO,NR_ZONA,NR_SECAO,NM_LOCAL_VOTACAO,QT_VOTOS_SAMIR,QT_VOTOS_VALIDOS_SECAO,Local_Busca_Geografica
2024,RIO BRANCO,1,36,COLEGIO ACREANO,8,1139,"RIO BRANCO, Acre, Brasil, COLEGIO ACREANO"
2024,RIO BRANCO,9,127,ESCOLA CLÍNIO BRANDÃO,8,1244,"RIO BRANCO, Acre, Brasil, ESCOLA CLÍNIO BRANDÃO"
2024,RIO BRANCO,1,749,COHAB-ACRE,3,3646,"RIO BRANCO, Acre, Brasil, COHAB-ACRE"
2024,RIO BRANCO,9,408,ESCOLA FRANCISCO SALGADO FILHO,10,1031,"RIO BRANCO, Acre, Brasil, ESCOLA FRANCISCO SALGADO FILHO"
2024,RIO BRANCO,1,434,ESCOLA JOSE CHALUB LEITE,5,2577,"RIO BRANCO, Acre, Brasil, ESCOLA JOSE CHALUB LEITE"
2024,RIO BRANCO,9,427,ESCOLA MARILDA GOUVEIA VIANA,4,1600,"RIO BRANCO, Acre, Brasil, ESCOLA MARILDA GOUVEIA VIANA"
2024,RIO BRANCO,1,724,ESCOLA MARIA LÚCIA MOURA MARIN,8,3549,"RIO BRANCO, Acre, Brasil, ESCOLA MARIA LÚCIA MOURA MARIN"
2024,RIO BRANCO,1,499,ESCOLA PROFESSOR JOSUÉ FERNANDES,1,2712,"RIO BRANCO, Acre, Brasil, ESCOLA PROFESSOR JOSUÉ FERNANDES"
2024,RIO BRANCO,9,61,COLÉGIO META III,8,1520,"RIO BRANCO, Acre, Brasil, COLÉGIO META III"
2024,RIO BRANCO,9,56,SECRETARIA DE EDUCAÇÃO E CULTURA,5,1112,"RIO BRANCO, Acre, Brasil, SECRETARIA DE EDUCAÇÃO E CULTURA"
2024,RIO BRANCO,9,254,ESCOLA AYRTON SENNA DA SILVA,8,1660,"RIO BRANCO, Acre, Brasil, ESCOLA AYRTON SENNA DA SILVA"
2024,RIO BRANCO,9,355,ESCOLA DOUTOR JOÃO AGUIAR,9,2186,"RIO BRANCO, Acre, Brasil, ESCOLA DOUTOR JOÃO AGUIAR"
2024,RIO BRANCO,9,42,FUNDAÇÃO DO BEM ESTAR SOCIAL DO ACRE - FUNBESA,6,1171,"RIO BRANCO, Acre, Brasil, FUNDAÇÃO DO BEM ESTAR SOCIAL DO ACRE - FUNBESA"
2024,RIO BRANCO,1,640,ESCOLA NEUTEL MAIA,6,3298,"RIO BRANCO, Acre, Brasil, ESCOLA NEUTEL MAIA"
2024,RIO BRANCO,1,725,ESCOLA AGNALDO MORENO (ANTIGA MARILENA MANSOUR),3,3557,"RIO BRANCO, Acre, Brasil, ESCOLA AGNALDO MORENO (ANTIGA MARILENA MANSOUR)"
2024,RIO BRANCO,1,720,SECRETARIA MUNICIPAL DE INFRAESTRUTURA E MOBILIDADE URBANA - SEINFRA,5,3956,"RIO BRANCO, Acre, Brasil, SECRETARIA MUNICIPAL DE INFRAESTRUTURA E MOBILIDADE URBANA - SEINFRA"
2024,RIO BRANCO,9,59,CENTRO ESTADUAL DE ATENDIMENTO AO DEFICIENTE VISUAL,12,1457,"RIO BRANCO, Acre, Brasil, CENTRO ESTADUAL DE ATENDIMENTO AO DEFICIENTE VISUAL"
2024,RIO BRANCO,1,35,ESCOLA PROFESSOR JOSÉ RODRIGUES LEITE (ÉTICA),11,1317,"RIO BRANCO, Acre, Brasil, ESCOLA PROFESSOR JOSÉ RODRIGUES LEITE (ÉTICA)"
2024,RIO BRANCO,9,154,ESCOLA JOSÉ RIBAMAR BATISTA,6,1570,"RIO BRANCO, Acre, Brasil, ESCOLA JOSÉ RIBAMAR BATISTA"
2024,RIO BRANCO,9,146,COLÉGIO META III,12,1520,"RIO BRANCO, Acre, Brasil, COLÉGIO META III"
2024,RIO BRANCO,1,89,ESCOLA ANA TURAM MACHADO FALCAO,4,2402,"RIO BRANCO, Acre, Brasil, ESCOLA ANA TURAM MACHADO FALCAO"
2024,RIO BRANCO,9,102,ESCOLA PROFESSORA RAMONA M P DE CASTRO,7,1619,"RIO BRANCO, Acre, Brasil, ESCOLA PROFESSORA RAMONA M P DE CASTRO"
2024,RIO BRANCO,9,241,ESCOLA FREI THIAGO MARIA MATIOLI,5,1627,"RIO BRANCO, Acre, Brasil, ESCOLA FREI THIAGO MARIA MATIOLI"
2024,RIO BRANCO,1,771,UNIDADE DE SAÚDE DA FAMÍLIA - VITÓRIA,5,3719,"RIO BRANCO, Acre, Brasil, UNIDADE DE SAÚDE DA FAMÍLIA - VITÓRIA"
2024,RIO BRANCO,1,350,SECRETARIA DE ESTADO DE EDUCAÇÃO (ANTIGO SEBRAE),10,1600,"RIO BRANCO, Acre, Brasil, SECRETARIA DE ESTADO DE EDUCAÇÃO (ANTIGO SEBRAE)"
2024,RIO BRANCO,9,285,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS - APAE,7,1430,"RIO BRANCO, Acre, Brasil, ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS - APAE"
